PROVINCIA;CANTON;PARROQUIA;INCENDIOS;OSOS;ALIMENTACION;Latitud;Longitud;Latitud-2;Longitud-2;TIPO VEGETACION;BIOCLIMA;TIPO_ECOSI;FRAGILIDAD;AREA PROTEGIDA;DEFICIT HIDRICO;YEAR;MONTH;DAY
NAPO;QUIJOS;PAPALLACTA;NO;SI;Racinaea;-0.346344;-78.149224;-0.345021;-78.152762;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;PARQUE NACIONAL;000 - 000;2021;2;27
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.067263;-78.725718;0.070942;-78.727948;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2023;10;27
NAPO;QUIJOS;PAPALLACTA;NO;SI;Racinaea;-0.37096;-78.092331;-0.378412;-78.092185;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2012;12;31
TUNGURAHUA;BAÑOS DE AGUA SANTA;RIO NEGRO;NO;SI;Guzmania;-1.211674;-78.12924;-1.264861;-78.158727;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;2020;3;19
PICHINCHA;QUITO;PINTAG;NO;SI;Puya;-0.448138;-78.332337;-0.440126;-78.323844;OTRAS TIERRAS;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;2021;7;4
PICHINCHA;QUITO;NANEGAL;NO;SI;Guzmania;0.116248;-78.600134;0.11228;-78.602313;TIERRA AGROPECUARIA;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2012;12;10
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.120953;-78.724692;0.122838;-78.727219;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2017;9;26
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.120953;-78.724692;0.10375;-78.722376;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2017;11;28
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.120953;-78.724692;0.106072;-78.721904;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2015;8;31
PICHINCHA;QUITO;NANEGAL;NO;SI;Wallisia;0.095081;-78.616742;0.091183;-78.620961;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2015;9;27
PICHINCHA;QUITO;NANEGAL;NO;SI;Wallisia;0.17825;-78.685164;0.181488;-78.681025;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2018;7;30
PICHINCHA;QUITO;NANEGAL;NO;SI;Wallisia;0.17825;-78.685164;0.180923;-78.689835;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2008;3;14
PICHINCHA;SAN MIGUEL DE LOS BANCOS;MINDO;NO;SI;Wallisia;-0.063334;-78.687485;-0.066121;-78.681294;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2013;12;31
PICHINCHA;QUITO;NONO;NO;SI;Cipuropsis;0.015505;-78.654102;0.017879;-78.65694;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2010;1;13
PICHINCHA;QUITO;NANEGALITO;NO;SI;Tillandsia;0.0579;-78.699219;0.061758;-78.705749;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2019;9;24
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.228079;-78.006407;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2019;1;23
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.271561;-77.989826;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2019;6;28
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.259578;-78.008414;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2015;3;26
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.246378;-78.041;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2015;5;20
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.227776;-78.009721;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2014;8;12
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.235272;-77.979083;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2013;8;8
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.253727;-78.051026;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2012;8;3
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.258121;-77.98077;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2011;4;1
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.258121;-77.98077;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2011;4;1
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.258121;-77.98077;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2011;4;1
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.258121;-77.98077;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2011;5;22
PICHINCHA;QUITO;PINTAG;NO;SI;Puya;-0.444478;-78.312702;-0.428185;-78.296929;OTRAS TIERRAS;PLUVIAL;; ;NO DEFINIDA;000 - 000;2019;2;9
PICHINCHA;QUITO;PINTAG;NO;SI;Puya;-0.454332;-78.31636;-0.45399;-78.311874;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;2023;7;10
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.125671;-78.717556;0.132125;-78.703823;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2020;8;29
SUCUMBIOS;GONZALO PIZARRO;EL REVENTADOR;NO;SI;Greigia;0.245713;-77.849053;0.214345;-77.800013;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;PARQUE NACIONAL;000 - 000;2015;3;26
IMBABURA;PIMAMPIRO;SAN  FCO. DE SIGSIPAMBA;NO;SI;Greigia;0.246498;-77.854948;0.237492;-77.86968;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2020;3;13
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.58876;-78.213806;-0.596816;-78.283253;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;2023;2;20
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.58876;-78.213806;-0.57186;-78.217823;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;2023;7;16
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.58876;-78.213806;-0.577355;-78.293174;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;2020;3;24
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.58876;-78.213806;-0.540592;-78.231215;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;2019;2;9
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.58876;-78.213806;-0.558552;-78.211497;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;2019;8;7
NAPO;ARCHIDONA;ARCHIDONA;NO;SI;Puya;-0.607731;-78.194161;-0.589178;-78.129108;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2022;3;13
PICHINCHA;SAN MIGUEL DE LOS BANCOS;MINDO;NO;SI;Guzmania;0.012782;-78.774781;0.030833;-78.786153;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2021;10;8
PICHINCHA;SAN MIGUEL DE LOS BANCOS;MINDO;NO;SI;Guzmania;0.012782;-78.774781;0.017446;-78.788433;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2020;8;30
NAPO;QUIJOS;PAPALLACTA;NO;SI;Puya;-0.355989;-78.211819;-0.372984;-78.202232;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;2017;12;1
PICHINCHA;QUITO;PINTAG;NO;SI;Puya;-0.474643;-78.309444;-0.512851;-78.331741;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2022;7;27
PICHINCHA;QUITO;NANEGAL;NO;SI;Tillandsia;0.15;-78.666667;0.14818;-78.67531;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2023;9;28
PICHINCHA;QUITO;NANEGAL;NO;SI;Tillandsia;0.15;-78.666667;0.155496;-78.660751;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2019;4;19
NAPO;ARCHIDONA;COTUNDO;NO;SI;Guzmania;-0.623023;-77.840504;-0.62748;-77.84509;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;2018;9;18
NAPO;ARCHIDONA;COTUNDO;NO;SI;Guzmania;-0.623023;-77.840504;-0.62748;-77.84509;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;2018;9;18
NAPO;ARCHIDONA;COTUNDO;NO;SI;Guzmania;-0.623023;-77.840504;-0.62748;-77.84509;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;2018;9;18
NAPO;ARCHIDONA;COTUNDO;NO;SI;Guzmania;-0.623023;-77.840504;-0.62748;-77.84509;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;2018;9;18
IMBABURA;IBARRA;SAN MIGUEL DE IBARRA;NO;SI;Tillandsia;0.358189;-78.111508;0.361711;-78.107737;ZONA ANTROPICA;XÉRICO;; ;NO DEFINIDA;330 - 340;2018;1;20
NAPO;QUIJOS;PAPALLACTA;NO;SI;Puya;-0.399581;-78.171511;-0.413129;-78.201136;OTRAS TIERRAS;PLUVIAL;; ;PARQUE NACIONAL;000 - 000;2019;2;9
PICHINCHA;QUITO;PINTAG;NO;SI;Tillandsia;-0.432111;-78.352451;-0.445873;-78.371606;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2023;1;12
PICHINCHA;QUITO;GUALEA;NO;SI;Wallisia;0.077365;-78.80559;0.051306;-78.787682;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2017;11;18
PICHINCHA;QUITO;GUALEA;NO;SI;Wallisia;0.077365;-78.80559;0.070435;-78.794494;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2012;12;10
PICHINCHA;QUITO;GUALEA;NO;SI;Wallisia;0.077365;-78.80559;0.084956;-78.7911;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2010;1;13
PICHINCHA;QUITO;GUALEA;NO;SI;Guzmania;0.15136;-78.707684;0.143036;-78.721459;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2010;1;13
PICHINCHA;QUITO;GUALEA;NO;SI;Guzmania;0.15136;-78.707684;0.148432;-78.724879;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2008;3;6
ZAMORA CHINCHIPE;ZAMORA;ZAMORA;NO;SI;Puya;-4.185557;-79.079841;-4.182375;-79.086683;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;PARQUE NACIONAL;000 - 000;2021;5;2
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.543432;-78.202806;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;2018;11;3
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
NAPO;ARCHIDONA;COTUNDO;NO;SI;Puya;-0.530071;-78.171678;-0.53954;-78.15029;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1900;1;1
PICHINCHA;QUITO;NANEGAL;NO;SI;Wallisia;0.169584;-78.653628;0.176692;-78.653424;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2011;12;2
ZAMORA CHINCHIPE;PALANDA;VALLADOLID;NO;SI;Puya;-4.293872;-79.048944;-4.328891;-79.030421;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;PARQUE NACIONAL;000 - 000;1996;4;1
PICHINCHA;QUITO;PACTO;NO;SI;Wallisia;0.13845;-78.782998;0.148143;-78.780004;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2019;9;23
PICHINCHA;QUITO;PACTO;NO;SI;Wallisia;0.13845;-78.782998;0.141357;-78.785784;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2012;11;28
PICHINCHA;QUITO;SAN ANTONIO;NO;SI;Racinaea;0.080878;-78.460175;0.078884;-78.473129;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;320 - 330;2023;2;11
IMBABURA;OTAVALO;SAN PABLO;NO;SI;Tillandsia;0.204375;-78.203283;0.201246;-78.194634;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2019;3;30
IMBABURA;OTAVALO;SAN PABLO;NO;SI;Tillandsia;0.204375;-78.203283;0.210054;-78.196284;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2018;3;5
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;SI;Pitcairnia;-4.055876;-79.041395;-4.05622;-79.03959;TIERRA AGROPECUARIA;PLUVIAL;; ;PARQUE NACIONAL;575 - 600;2017;8;29
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;SI;Pitcairnia;-4.055876;-79.041395;-4.05622;-79.03959;TIERRA AGROPECUARIA;PLUVIAL;; ;PARQUE NACIONAL;575 - 600;2017;8;29
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;SI;Pitcairnia;-4.055876;-79.041395;-4.05622;-79.03959;TIERRA AGROPECUARIA;PLUVIAL;; ;PARQUE NACIONAL;575 - 600;2017;8;29
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;SI;Pitcairnia;-4.055876;-79.041395;-4.05622;-79.03959;TIERRA AGROPECUARIA;PLUVIAL;; ;PARQUE NACIONAL;575 - 600;2017;8;29
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;NO;SI;Pitcairnia;-4.055876;-79.041395;-4.05622;-79.03959;TIERRA AGROPECUARIA;PLUVIAL;; ;PARQUE NACIONAL;575 - 600;2017;8;29
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;SI;Guzmania;0.192641;-78.644821;0.192513;-78.639273;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2015;9;16
PICHINCHA;QUITO;SAN JOSE DE MINAS;NO;SI;Guzmania;0.192641;-78.644821;0.194603;-78.654991;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2012;12;10
PICHINCHA;QUITO;NANEGAL;NO;SI;Guzmania;0.109352;-78.609613;0.109146;-78.607705;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2016;4;29
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.423622;-78.021926;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;2022;2;18
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.415551;-78.031634;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;2021;2;10
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;2015;10;21
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;2015;10;21
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;2015;10;21
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;2015;10;21
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;2015;10;21
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;QUIJOS;CUYUJA;NO;SI;Racinaea;-0.418765;-78.027637;-0.42602;-78.02797;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;1900;1;1
PICHINCHA;QUITO;GUALEA;NO;SI;Guzmania;0.133989;-78.73785;0.149291;-78.731158;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2020;9;6
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.020607;-78.705632;0.019272;-78.702092;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2021;11;17
PICHINCHA;QUITO;NANEGALITO;NO;SI;Racinaea;0.009574;-78.676278;0.007613;-78.673347;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2020;9;7
EL ORO;PIÑAS;MOROMORO (CAB. EN EL VADO);NO;SI;Wallisia;-3.604584;-79.736687;-3.590797;-79.742839;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2019;4;5
EL ORO;PIÑAS;MOROMORO (CAB. EN EL VADO);NO;SI;Wallisia;-3.604584;-79.736687;-3.580299;-79.734998;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2019;11;8
PICHINCHA;QUITO;TUMBACO;NO;SI;Tillandsia;-0.221488;-78.374982;-0.223868;-78.374623;ZONA ANTROPICA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2023;7;28
PICHINCHA;QUITO;TUMBACO;NO;SI;Tillandsia;-0.240819;-78.365073;-0.249705;-78.381822;TIERRA AGROPECUARIA;PLUVIESTACIONAL;; ;NO DEFINIDA;000 - 000;2019;2;23
PICHINCHA;QUITO;PIFO;SI;SI;Tillandsia;-0.282448;-78.253058;-0.252177;-78.259108;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2023;9;8
PICHINCHA;QUITO;PIFO;NO;SI;Tillandsia;-0.282448;-78.253058;-0.289945;-78.27991;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2022;10;3
PICHINCHA;QUITO;PIFO;NO;SI;Tillandsia;-0.282448;-78.253058;-0.264917;-78.250937;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2022;12;27
PICHINCHA;QUITO;PIFO;NO;SI;Tillandsia;-0.282448;-78.253058;-0.274417;-78.264032;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2021;4;10
PICHINCHA;QUITO;PIFO;NO;SI;Tillandsia;-0.282448;-78.253058;-0.286557;-78.268658;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2021;8;25
PICHINCHA;QUITO;PIFO;NO;SI;Tillandsia;-0.282448;-78.253058;-0.276957;-78.269511;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2019;4;1
PICHINCHA;QUITO;PIFO;NO;SI;Tillandsia;-0.282448;-78.253058;-0.259743;-78.250907;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2019;4;1
TUNGURAHUA;BAÑOS DE AGUA SANTA;RIO NEGRO;NO;SI;Aechmea;-1.463682;-78.1995;-1.45876;-78.21379;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;000 - 000;2018;8;22
